ticket_id,subject,description,resolution,status,priority,category,tags,reported_at,resolved_at,troubleshooting_steps,troubleshooting_steps
INC-1000,VPN Connection Timeout General,Users experience timeout errors when connecting to corporate VPN,Verify internet stability with ping test. Check firewall for UDP 500 and 4500. Restart VPN client. Clear VPN cache. Restart VPN service on server. Contact network team if persists.,Resolved,High,Remote Access,"vpn, timeout, connection",15-06-2024,15-06-2024,Verify internet stability with ping test; Check firewall for UDP 500 and 4500; Restart VPN client; Clear VPN cache; Restart VPN service on server; Contact network team if persists.; Technical Note: Common during peak hours on home networks. ISP throttling possible.,Common during peak hours on home networks. ISP throttling possible.
INC-1001,VPN Evening Peak 5-7 PM Overload,Remote workers cannot connect VPN between 5-7 PM with refused errors,Evening peak overloads concentrator. Check capacity with show vpn-sessiondb. Add gateway if above 80%. Review CPU if above 75%. Set 30 min idle timeout. Configure split tunneling. Deploy load balancing.,Resolved,Critical,Remote Access,"vpn, evening, peak, capacity",20-07-2024,20-07-2024,Evening peak overloads concentrator; Check capacity with show vpn-sessiondb; Add gateway if above 80%; Review CPU if above 75%; Set 30 min idle timeout; Configure split tunneling; Deploy load balancing.; Technical Note: 5-7 PM highest connections when workers reconnect after dinner.,5-7 PM highest connections when workers reconnect after dinner.
INC-1002,VPN Morning Rush 8-9 AM,VPN connection failures during morning login rush 8-9 AM,Morning rush overwhelms authentication. Stagger login times by department. Pre-authenticate before 8 AM. Increase RADIUS capacity. Cache credentials. Add VPN gateways.,Resolved,High,Remote Access,"vpn, morning, peak, authentication",10-05-2024,10-05-2024,Morning rush overwhelms authentication; Stagger login times by department; Pre-authenticate before 8 AM; Increase RADIUS capacity; Cache credentials; Add VPN gateways.; Technical Note: Start of business creates authentication storm.,Start of business creates authentication storm.
INC-1003,VPN Split Tunnel Configuration,Slow internet while on VPN because all traffic routes through corporate,Enable split tunneling for non-corporate traffic. Define corporate IP ranges. Test resource access. Document VPN-required resources. Reduces gateway load 60-80%.,Resolved,Medium,Configuration,"vpn, split-tunnel, bandwidth",22-04-2024,22-04-2024,Enable split tunneling for non-corporate traffic; Define corporate IP ranges; Test resource access; Document VPN-required resources; Reduces gateway load 60-80%.; Technical Note: Split tunnel improves experience and reduces infrastructure cost.,Split tunnel improves experience and reduces infrastructure cost.
INC-1004,VPN Client Auto Reconnect Issues,VPN fails to reconnect after laptop sleep requiring manual intervention,Enable persistent connection. Implement retry with exponential backoff. Set always-on VPN. Configure sleep resume reconnect. Enable network change detection.,Resolved,Medium,Remote Access,"vpn, reconnect, sleep, automation",18-03-2024,18-03-2024,Enable persistent connection; Implement retry with exponential backoff; Set always-on VPN; Configure sleep resume reconnect; Enable network change detection.; Technical Note: Auto reconnect critical for productivity.,Auto reconnect critical for productivity.
INC-1005,VPN Gateway CPU Saturation,VPN gateway CPU above 90% causing authentication delays and drops,High CPU from encryption overhead. Migrate 3DES to AES for hardware acceleration. Disable verbose logging. Rate limit connections. Schedule cert operations off-peak. Add gateway capacity.,Resolved,High,Infrastructure,"vpn, cpu, gateway, performance",05-08-2024,05-08-2024,High CPU from encryption overhead; Migrate 3DES to AES for hardware acceleration; Disable verbose logging; Rate limit connections; Schedule cert operations off-peak; Add gateway capacity.; Technical Note: Encryption is CPU intensive. Hardware acceleration essential.,Encryption is CPU intensive. Hardware acceleration essential.
INC-1006,VPN SSL Certificate Problems,VPN connection fails with certificate validation errors,Check cert expiration date. Generate new CSR with SANs. Submit to CA. Install cert with chain. Test all client types. Set expiration monitoring alerts.,Resolved,Critical,Security,"vpn, ssl, certificate, security",12-09-2024,12-09-2024,Check cert expiration date; Generate new CSR with SANs; Submit to CA; Install cert with chain; Test all client types; Set expiration monitoring alerts.; Technical Note: Certificate expiration preventable with monitoring.,Certificate expiration preventable with monitoring.
INC-1007,VPN ISP Throttling Detection,VPN slow only for certain ISPs during peak hours,ISPs throttle encrypted VPN traffic. Test from multiple ISPs. Use obfuscation features. Try HTTPS-based VPN. Document ISP issues. Recommend business internet.,Resolved,Medium,Remote Access,"vpn, isp, throttling, bandwidth",28-02-2024,28-02-2024,ISPs throttle encrypted VPN traffic; Test from multiple ISPs; Use obfuscation features; Try HTTPS-based VPN; Document ISP issues; Recommend business internet.; Technical Note: Residential ISPs increasingly throttle VPN.,Residential ISPs increasingly throttle VPN.
INC-1008,Database Connection Pool Empty,Application shows no available connections during traffic spikes,Pool exhaustion when all connections busy. Check pool size need 50-200. Monitor active vs idle. Enable leak detection. Set query timeout 30-60s. Increase pool if at max.,Resolved,Critical,Infrastructure,"database, connection-pool, exhaustion",15-07-2024,15-07-2024,Pool exhaustion when all connections busy; Check pool size need 50-200; Monitor active vs idle; Enable leak detection; Set query timeout 30-60s; Increase pool if at max.; Technical Note: Leading cause of app outages at peak.,Leading cause of app outages at peak.
INC-1009,Database Query Timeout Errors,Queries timing out during peak load periods,Long queries hold connections. Identify slow queries. Add indexes for scans. Set 30-60s timeout. Implement caching. Offload reports to replica. Fix N+1 patterns.,Resolved,High,Infrastructure,"database, timeout, queries, performance",20-06-2024,20-06-2024,Long queries hold connections; Identify slow queries; Add indexes for scans; Set 30-60s timeout; Implement caching; Offload reports to replica; Fix N+1 patterns.; Technical Note: Query optimization biggest performance gain.,Query optimization biggest performance gain.
